app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:52:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:52:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:52:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:52:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:52:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:52:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:52:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:53:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:53:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:53:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:53:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:53:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:53:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:53:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:53:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:53:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:53:06,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:53:07,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:53:07,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:53:07,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:53:07,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:54:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:54:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:54:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:54:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:54:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:54:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:54:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:54:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:54:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:54:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:54:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:54:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:54:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:54:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:55:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:55:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:55:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:55:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:55:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:55:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:55:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:55:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:55:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:55:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:55:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:55:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:55:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:55:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:56:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:56:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:56:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:56:02,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:56:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:56:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:56:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:56:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:56:03,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:56:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:56:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:56:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:56:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:56:04,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:57:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:57:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:57:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:57:02,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:57:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:57:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:57:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:57:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:57:03,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:57:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:57:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:57:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:57:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:57:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:58:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:58:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:58:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:58:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:58:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:58:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:58:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:58:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:58:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:58:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:58:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:58:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:58:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:58:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 09:59:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 09:59:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 09:59:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 09:59:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 09:59:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 09:59:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 09:59:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 09:59:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 09:59:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 09:59:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 09:59:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 09:59:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 09:59:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 09:59:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:00:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:00:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:00:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:00:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:00:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:00:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:00:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:00:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:00:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:00:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:00:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:00:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:00:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:00:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:01:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:01:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:01:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:01:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:01:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:01:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:01:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:01:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:01:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:01:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:01:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:01:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:01:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:01:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:02:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:02:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:02:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:02:02,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:02:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:02:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:02:03,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:02:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:02:03,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:02:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:02:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:02:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:02:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:02:04,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:03:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:03:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:03:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:03:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:03:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:03:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:03:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:03:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:03:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:03:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:03:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:03:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:03:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:03:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:04:01,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:04:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:04:02,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:04:02,45M,3.2.3,"April 21, 2021",100+,NA,NA
